City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
538,Acapulco,MX,84.02,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
540,Samarai,PG,81.82,broken clouds,-10.62,150.67,Nuli Sapi
543,Sarangani,PH,82.33,overcast clouds,5.4,125.46,Ballistic Islet
551,Moerai,PF,80.6,scattered clouds,-22.43,-151.33,Le Manotel
561,Gazojak,TM,77.13,overcast clouds,41.19,61.4,
565,Caravelas,BR,80.08,broken clouds,-17.71,-39.25,Pousada dos Navegantes
566,The Valley,AI,83.1,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
571,Carutapera,BR,81.01,overcast clouds,-1.2,-46.02,Lidera
575,Nabire,ID,76.06,overcast clouds,-3.37,135.48,Hotel Nusantara I
576,Harper,LR,83.19,overcast clouds,4.38,-7.72,Screensaver
579,Bumba,CD,76.96,overcast clouds,2.18,22.47,Père Carlos
582,Nieves,PH,80.11,overcast clouds,15.33,120.95,Bill's Inn
585,Vanimo,PG,78.67,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
588,Biak,ID,76.69,light rain,-0.91,122.88,Penginapan Kim
592,Aden,YE,82.99,scattered clouds,12.78,45.04,Sama Emirate Hotel
595,Buala,SB,76.95,light rain,-8.14,159.59,Maringe Lagoon Lodge
596,Sao Joao Da Barra,BR,77.09,overcast clouds,-21.64,-41.05,Pousada Porto De Canoas
597,Phonhong,LA,82.11,clear sky,18.5,102.42,Napakuang Resort
599,Sompeta,IN,83.26,overcast clouds,18.93,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
601,Honiara,SB,77.2,overcast clouds,-9.43,159.95,Heritage Park Hotel
602,Mogadishu,SO,82.81,broken clouds,2.04,45.34,Hotel Juba
604,Humberto De Campos,BR,83.14,overcast clouds,-2.6,-43.46,Pousada do Cabeça
615,Grand-Lahou,CI,83.93,overcast clouds,5.14,-5.02,Hotel Beatitude de Grand Lahou
620,Vaitape,PF,81.86,clear sky,-16.52,-151.75,Conrad Bora Bora Nui
629,Beloha,MG,80.49,overcast clouds,-25.17,45.05,
632,Alice Town,BS,77.56,broken clouds,25.72,-79.3,Bimini Big Game Club Resort & Marina
633,Port Hedland,AU,82.45,scattered clouds,-20.32,118.57,The Esplanade Hotel
650,Katherine,AU,77.32,haze,-14.47,132.27,Pine Tree Motel
654,Lumding,IN,78.13,scattered clouds,25.75,93.17,Hotel Nilamber
660,Gerash,IR,82.36,overcast clouds,27.67,54.14,Chelpasin
661,Arroyo,ES,75.15,few clouds,41.61,-4.8,Hotel El Jardín de la Abadía
665,Palpa,PE,80.44,few clouds,-14.53,-75.19,Palpa Lines
666,Nileshwar,IN,82.83,few clouds,12.25,75.1,Neeleshwar Hermitage
669,Lahij,YE,82.22,broken clouds,13.17,44.58,
670,Sokoni,TZ,81.46,moderate rain,-6.43,39.55,Ujamaa Beach Resort
671,Lufilufi,WS,76.78,light rain,-13.87,-171.6,Leuaina Beach Resort and Spa
673,Trincomalee,LK,83.35,scattered clouds,8.57,81.23,Welcombe Hotel
678,Bandarbeyla,SO,83.08,broken clouds,9.49,50.81,JABIR HOTEL
