City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
235,Noumea,NC,-22.28,166.46,67.98,88,79,1.83,broken clouds
236,Ocean City,US,39.28,-74.57,68.18,19,52,4.0,broken clouds
237,Ardakan,IR,32.31,54.02,75.43,30,100,8.79,overcast clouds
238,Cabo San Lucas,MX,22.89,-109.91,77.5,51,100,4.32,overcast clouds
239,Palmas Bellas,PA,9.23,-80.09,82.02,76,94,9.19,overcast clouds
240,Pucallpa,PE,-8.38,-74.55,76.91,86,100,3.58,heavy intensity rain
241,Aneho,TG,6.23,1.60,86.56,66,33,12.12,scattered clouds
242,Kadoma,JP,34.73,135.58,56.17,57,100,11.41,overcast clouds
243,Rio Claro,BR,-22.41,-47.56,72.09,54,12,9.69,few clouds
244,Lata,PT,40.16,-8.33,71.76,49,79,9.57,broken clouds
245,Kailua,US,21.40,-157.74,73.15,79,65,1.99,broken clouds
246,Karratha,AU,-20.74,116.85,85.15,69,37,2.51,heavy intensity rain
247,Jijiga,ET,9.35,42.80,69.94,68,93,9.69,light rain
248,Trairi,BR,-3.28,-39.27,85.26,68,71,8.39,broken clouds
249,Victoria,HK,22.29,114.16,75.33,78,43,17.0,scattered clouds
250,Aklavik,CA,68.22,-135.01,-7.13,98,100,0.43,overcast clouds
251,Zhigansk,RU,66.77,123.37,7.66,93,68,13.2,broken clouds
252,Krasnoselkup,RU,65.70,82.47,29.16,93,100,8.61,overcast clouds
253,Urengoy,RU,65.97,78.37,26.47,90,100,8.66,overcast clouds
254,Tiarei,PF,-17.53,-149.33,75.22,74,12,17.94,few clouds
255,Channel-Port Aux Basques,CA,47.57,-59.14,37.74,81,92,14.41,overcast clouds
256,Bethel,US,41.37,-73.41,64.89,29,20,9.22,few clouds
257,Guaymas,MX,27.93,-110.90,73.89,37,99,5.48,overcast clouds
258,Muros,ES,42.78,-9.06,74.68,66,45,4.99,scattered clouds
259,Kiunga,PG,-6.12,141.29,73.06,100,100,2.53,moderate rain
260,Moron,AR,-34.65,-58.62,68.97,65,2,6.4,clear sky
261,Tautira,PF,-17.73,-149.15,80.82,73,19,16.62,few clouds
262,Paamiut,GL,61.99,-49.67,22.53,70,43,14.63,scattered clouds
263,Cururupu,BR,-1.83,-44.87,81.93,83,96,5.48,overcast clouds
264,Kodiak,US,57.79,-152.41,38.71,93,100,9.22,moderate rain
265,Ondjiva,AO,-17.07,15.73,83.79,39,65,3.18,broken clouds
266,Liku,ID,-0.73,119.89,75.69,86,100,1.36,overcast clouds
267,Frontera,MX,26.93,-101.45,77.32,56,75,1.99,broken clouds
268,Flinders,AU,-34.58,150.86,60.19,85,100,3.0,overcast clouds
269,Beringovskiy,RU,63.05,179.32,29.97,97,100,20.38,snow
270,Shatrovo,RU,56.52,64.63,54.12,80,100,7.0,overcast clouds
271,Sisophon,KH,13.59,102.97,85.68,62,31,5.53,scattered clouds
272,Teodoro Sampaio,BR,-22.53,-52.17,75.42,60,21,6.53,few clouds
273,Banda Aceh,ID,5.56,95.32,81.73,76,35,1.21,scattered clouds
274,Natal,BR,-5.79,-35.21,88.02,55,45,9.04,scattered clouds
275,Chkalovskoye,RU,44.84,133.04,40.98,56,5,6.96,clear sky
276,Vao,NC,-22.67,167.48,72.82,84,95,15.61,overcast clouds
277,Maridi,SS,4.92,29.47,68.25,98,100,1.7,overcast clouds
278,Georgetown,MY,5.41,100.34,82.33,89,20,1.14,few clouds
279,Tual,ID,-5.67,132.75,82.78,75,100,3.24,overcast clouds
280,Kahului,US,20.89,-156.47,72.84,74,20,9.22,few clouds
281,Khatanga,RU,71.97,102.50,12.79,85,100,14.25,overcast clouds
282,Leningradskiy,RU,69.38,178.42,12.34,95,100,9.78,overcast clouds
283,Nioro,GM,13.35,-15.75,102.61,10,13,6.04,few clouds
284,Novikovo,RU,51.15,37.89,54.63,52,65,4.76,broken clouds
285,Humaita,BR,-7.51,-63.02,80.56,88,100,1.92,overcast clouds
286,Semey,KZ,50.41,80.23,52.25,32,0,9.78,clear sky
287,Mae Ramat,TH,16.98,98.52,79.16,68,59,2.68,broken clouds
288,Kandrian,PG,-6.22,149.55,77.22,90,90,3.78,light rain
289,Tessalit,ML,20.20,1.01,92.37,8,15,16.49,few clouds
290,Iqaluit,CA,63.75,-68.51,4.69,60,1,18.01,clear sky
291,Namibe,AO,-15.20,12.15,74.88,70,75,12.55,broken clouds
292,Bichena,ET,10.45,38.20,71.65,32,83,7.23,broken clouds
293,Ucluelet,CA,48.93,-125.55,44.1,84,22,4.07,few clouds
294,General Roca,AR,-39.03,-67.58,73.13,25,1,5.37,clear sky
295,Ahipara,NZ,-35.17,173.17,55.2,87,96,4.59,overcast clouds
296,Almaznyy,RU,48.04,40.05,52.07,64,55,7.2,broken clouds
297,Port Augusta,AU,-32.50,137.77,67.55,39,0,5.44,clear sky
298,Ballina,AU,-28.87,153.57,63.01,97,28,8.19,scattered clouds
299,Vermillion,US,42.78,-96.93,31.71,38,100,14.63,overcast clouds
300,Robertson,US,36.52,-86.87,69.01,22,0,11.5,clear sky
301,Fukue,JP,32.69,128.84,56.12,69,89,25.23,overcast clouds
302,Sao Felix Do Xingu,BR,-6.64,-51.99,87.03,62,89,3.53,overcast clouds
303,Hay River,CA,60.82,-115.80,19.27,82,86,3.2,overcast clouds
304,Itarema,BR,-2.92,-39.92,85.71,67,80,8.66,broken clouds
305,Faya,SA,18.39,42.45,68.52,37,4,7.56,clear sky
306,Carnarvon,AU,-24.87,113.63,77.07,69,45,10.36,scattered clouds
307,Rafaela,AR,-31.25,-61.49,72.0,31,0,5.01,clear sky
308,Panna,IN,24.72,80.20,92.39,11,42,4.79,scattered clouds
309,Camacha,PT,33.08,-16.33,63.82,68,20,14.97,few clouds
310,Bengkulu,ID,-3.80,102.27,78.01,87,100,4.21,overcast clouds
311,Ojinaga,MX,29.57,-104.42,80.56,47,0,3.44,clear sky
312,Ilulissat,GL,69.22,-51.10,12.22,57,75,9.22,broken clouds
313,Rio Gallegos,AR,-51.62,-69.22,48.25,87,75,4.61,light rain
314,Shingu,JP,33.73,135.98,55.58,91,83,7.87,broken clouds
315,Alofi,NU,-19.06,-169.92,80.69,73,6,7.65,clear sky
316,Srandakan,ID,-7.94,110.25,78.3,89,98,3.67,overcast clouds
317,Corn Island,NI,12.17,-83.04,81.16,70,96,13.15,overcast clouds
318,Narsaq,GL,60.92,-46.05,30.42,60,86,5.32,overcast clouds
319,Lompoc,US,34.64,-120.46,63.84,72,0,14.0,clear sky
320,Guiyang,CN,26.58,106.72,44.58,92,100,10.29,overcast clouds
321,Isangel,VU,-19.55,169.27,79.45,83,61,7.7,broken clouds
322,Solginskiy,RU,61.05,41.34,33.73,94,99,4.23,overcast clouds
323,Koslan,RU,63.46,48.90,29.37,72,100,8.57,overcast clouds
324,Provideniya,RU,64.38,-173.30,29.88,94,100,18.95,snow
325,Murighiol,RO,45.03,29.17,64.89,52,6,10.92,clear sky
326,Changde,CN,29.05,111.68,49.87,93,100,17.76,overcast clouds
327,Cockburn Town,TC,21.46,-71.14,77.34,78,23,20.87,few clouds
328,Alta Floresta,BR,-9.88,-56.09,84.54,69,84,2.39,broken clouds
329,Kushima,JP,31.46,131.23,60.42,92,100,4.45,overcast clouds
330,Codrington,AU,-38.27,141.97,57.7,96,88,3.51,overcast clouds
331,Saint Anthony,US,45.02,-93.22,28.35,55,20,24.16,few clouds
332,Mar Del Plata,AR,-38.00,-57.56,59.88,79,0,15.01,clear sky
333,Qandala,SO,11.47,49.87,86.67,46,83,6.11,broken clouds
334,Thinadhoo,MV,0.53,72.93,84.22,65,10,0.43,clear sky
335,Halifax,CA,44.65,-63.57,42.69,97,100,10.0,overcast clouds
336,Yumen,CN,40.28,97.20,45.48,14,98,21.68,overcast clouds
337,Walvis Bay,NA,-22.96,14.51,61.09,67,2,18.54,clear sky
338,Taut,RO,46.28,21.92,63.84,59,95,4.34,overcast clouds
339,Bombay,IN,19.01,72.85,84.18,74,1,6.91,haze
340,Homer,US,59.64,-151.55,39.09,62,100,14.0,overcast clouds
341,Kruisfontein,ZA,-34.00,24.73,59.88,53,100,7.31,overcast clouds
342,Saint Marys,US,30.73,-81.55,83.12,74,0,16.11,clear sky
343,Mega,ET,4.05,38.30,64.8,78,93,12.55,overcast clouds
344,Bogorodskoye,RU,56.55,37.88,40.53,97,100,3.44,overcast clouds
345,Spirit River,CA,55.78,-118.84,27.03,53,100,5.57,overcast clouds
346,Kaeo,NZ,-35.10,173.78,53.49,86,100,5.95,overcast clouds
347,Siocon,PH,7.71,122.14,78.4,85,21,0.89,few clouds
348,Beyneu,KZ,45.32,55.20,63.01,27,97,8.05,overcast clouds
349,Rawson,AR,-43.30,-65.10,76.12,25,0,11.45,clear sky
350,Miri,MY,4.41,114.01,78.39,84,73,3.36,broken clouds
351,Bousso,TD,10.48,16.71,91.15,37,78,15.28,broken clouds
352,Dusti,TJ,37.35,68.66,76.08,28,0,2.24,clear sky
353,College,US,64.86,-147.80,25.29,45,20,11.5,few clouds
354,Vila,PT,42.03,-8.16,68.7,48,30,4.0,scattered clouds
355,Duzce,TR,40.84,31.16,56.01,71,0,2.57,clear sky
356,Sabang,ID,5.89,95.32,84.43,68,80,3.98,broken clouds
357,Sisimiut,GL,66.94,-53.67,15.69,64,12,11.25,few clouds
